iter	Passed	Remaining
0	58	58405
1	58	29339
2	59	19666
3	59	14826
4	59	11904
5	60	9953
6	60	8563
7	60	7518
8	60	6704
9	61	6051
10	61	5518
11	61	5075
12	61	4699
13	62	4378
14	62	4098
15	62	3853
16	62	3637
17	63	3446
18	63	3279
19	63	3128
20	64	2988
21	64	2861
22	64	2745
23	64	2642
24	65	2547
25	65	2459
26	65	2375
27	66	2297
28	66	2224
29	66	2155
30	67	2094
31	67	2035
32	67	1978
33	67	1925
34	68	1875
35	68	1827
36	68	1782
37	68	1739
38	68	1698
39	69	1660
40	69	1624
41	69	1589
42	69	1556
43	70	1524
44	70	1494
45	70	1465
46	70	1437
47	71	1411
48	71	1385
49	71	1361
50	71	1337
51	72	1315
52	72	1293
53	72	1272
54	72	1252
55	73	1234
56	73	1215
57	73	1197
58	73	1179
59	74	1161
60	74	1145
61	74	1130
62	75	1116
63	75	1101
64	75	1086
65	75	1072
66	76	1058
67	76	1043
68	76	1029
69	76	1017
70	76	1005
71	77	992
72	77	981
73	77	969
74	77	958
75	77	947
76	78	937
77	78	927
78	78	917
79	78	908
80	79	900
81	79	891
82	80	883
83	80	875
84	80	865
85	80	857
86	80	847
87	81	840
88	81	832
89	81	824
90	81	816
91	82	809
92	82	802
93	82	795
94	82	788
95	82	781
96	83	774
97	83	768
98	83	761
99	83	755
100	84	748
101	84	741
102	84	735
103	84	729
104	84	723
105	85	718
106	85	712
107	85	707
108	85	701
109	86	696
110	86	691
111	86	685
112	86	680
113	86	675
114	87	670
115	87	665
116	87	660
117	87	656
118	88	652
119	88	649
120	88	645
121	89	641
122	89	635
123	89	631
124	89	627
125	89	623
126	90	620
127	90	615
128	90	611
129	90	607
130	91	604
131	91	600
132	91	596
133	91	592
134	91	589
135	92	585
136	92	582
137	92	578
138	92	575
139	93	572
140	93	568
141	93	565
142	93	562
143	94	559
144	94	556
145	94	554
146	95	551
147	95	548
148	95	545
149	95	542
150	95	539
151	96	536
152	96	533
153	96	531
154	97	528
155	97	526
156	97	523
157	97	520
158	97	518
159	98	515
160	98	512
161	98	510
162	98	507
163	99	505
164	99	502
165	99	500
166	99	497
167	99	495
168	100	492
169	100	490
170	100	487
171	100	485
172	101	483
173	101	481
174	101	478
175	101	476
176	102	474
177	102	472
178	102	470
179	102	468
180	102	465
181	103	463
182	103	461
